node_id,pagerank,community
Damien Chazelle,1.5181247465897678,5222
Michel Hazanavicius,1.5164005407630872,2986
P.J. Hogan,1.5157014694312136,1292
Keenen Ivory Wayans,1.5138295255794774,3059
Norman Jewison,1.504602880134194,4903
Julius Avery,1.4976949375203015,1292
Robert Altman,1.4944593777237023,2132
Nicolas Winding Refn,1.490540077680509,3059
Eric Valette,1.490241767230775,1696
Mel Brooks,1.4899742678004027,5222
Patrick Lussier,1.4875212502188668,3282
Lars von Trier,1.4870074095268444,4666
Gil Kenan,1.4862248370424735,2986
Michael Patrick King,1.483421940229957,1292
George Tillman Jr.,1.4807875925736826,1426
Blake Edwards,1.4758706261284644,3212
Richard Kelly,1.4653533454204597,4705
Jim Field Smith,1.4649874945325103,4948
Baltasar Kormákur,1.4645098334555955,3578
Adam Wingard,1.4643399311201013,4705
Seth MacFarlane,1.4639734083910358,5034
Sean Penn,1.4594434021267257,4948
Gavin O'Connor,1.4588411186693762,1808
Mark Steven Johnson,1.4585860105021546,3395
Neill Blomkamp,1.4462153377025397,4705
Mark Pellington,1.4436528847314667,5033
Rawson Marshall Thurber,1.4424760218784405,1220
Sidney Lumet,1.4387176022969095,3059
Genndy Tartakovsky,1.4277906833374316,5181
Jeremy Saulnier,1.4273153064806048,5302
Michael Hoffman,1.4273153064806048,2568
J. Lee Thompson,1.4273153064806048,2990
Martin Brest,1.4245061105855301,5139
"Joel Coen, Ethan Coen",1.4241372173757827,1280
Lawrence Kasdan,1.420127076208148,3059
Leigh Whannell,1.4101478868851893,1351
Luke Greenfield,1.4069399167795105,3433
"Phil Lord, Christopher Miller",1.4020242179013283,1220
Dominic Sena,1.393510661647378,1292
Roland Joffé,1.3892291263713323,2109
Michael Dowse,1.3892291263713323,2109
Ti West,1.3850895891592478,2119
Niki Caro,1.3600597376136152,3433
Wilson Yip,1.3545845677560915,3368
Akira Kurosawa,1.3468805512558113,3652
Takeshi Kitano,1.3339470438473764,2598
Jesse Peretz,1.3329824234180285,2986
Andrew Adamson,1.328208135184912,2628
Philip G. Atwell,1.3259137853089755,1696
Tarsem Singh,1.3237636771824066,5387
Giuseppe Tornatore,1.3227847011675546,2986
David Mickey Evans,1.321922190779609,3578
Jason Moore,1.3134227474151834,3578
John Lafia,1.3108689250438124,2626
Lisa Cholodenko,1.3060928646972216,2208
Mike Mills,1.3060928646972216,2208
Todd Strauss-Schulson,1.305654227888745,2132
Fritz Kiersch,1.3045980580250023,2626
Rodman Flender,1.301943935625357,1351
Rod Daniel,1.3016368928042168,5034
Joe Roth,1.298844611943349,2132
Larry Charles,1.2952426970793094,4685
Yimou Zhang,1.2918170961260753,3282
Adam Robitel,1.2907326517826334,4666
John Irvin,1.2884167505699873,1292
John Carney,1.2867150286092635,3433
Mike Cahill,1.281295456676667,3578
Garth Davis,1.2782071517422922,2628
